player_clean,wiki_total_views,importance_proxy
cassius stanley,,280.6
cassius winston,661458.0,166.0
cat barber,50190.0,15.8
cazzie russell,384445.0,23084.8
cecil hankins,,83.4
cedi osman,,11303.2
cedric ball,,33.0
cedric bozeman,,221.4
cedric ceballos,,18491.2
cedric coward,287273.0,1663.2
cedric henderson,,6492.1
cedric hunter,,2.0
cedric jackson,,171.5
cedric lewis,,7.1
cedric maxwell,,26760.5
cedric simmons,,982.2
cedrick hordges,,3116.7
cezary trybański,57486.0,144.2
chad gallagher,,5.1
chad kinch,,786.2
chance comanche,,22.0
chandler hutchison,354450.0,2264.1000000000004
chandler parsons,,13725.3
chaney johnson,,366.1
channing frye,,22732.6
charles barkley,,40660.7
charles bassey,,1708.4
charles bradley,,1019.9
charles claxton,,10.0
charles cooke,,50.7
charles davis,,6551.400000000001
charles dudley,,6715.4
charles edge,,3252.9
charles jenkins,,1943.3
charles johnson,,11878.6
charles jones,,19988.4
charles jordan,,925.6
charles o'bannon,,447.5
charles oakley,,41666.8
charles pittman,,3529.6
charles shackleford,,4923.3
charles smith,,22118.0
charles thomas,,191.7
charley parks,,7.0
charley shipp,,22.4
charlie beasley,,8201.1
charlie bell,,9808.2
charlie black,,384.9
charlie brown jr.,186653.0,653.3
charlie criss,,11073.3
charlie davis,,4293.1
charlie hardnett,,2641.0
charlie hentz,,1133.3
charlie hoefer,22121.0,124.9
charlie lowery,,154.2
charlie parsley,,9.0
charlie paulk,,2005.6
charlie scott,,28839.1
charlie sitton,,346.9
charlie tyra,,8163.9
charlie villanueva,,14261.4
charlie ward,,16084.9
charlie williams,,14554.9
charlie yelverton,,1295.5
chase budinger,1071479.0,9418.2
chasson randle,,2363.8
chauncey billups,,41789.4
chaundee brown jr.,,217.8
chaz lanier,,296.1
cheese johnson,768.0,61.9
cheick diallo,,2375.7
cheikh samb,,236.3
cherokee parks,,9063.2
chet aubuchon,,31.2
chet carlisle,,52.6
chet holmgren,,5498.599999999999
chet mcnabb,,2.0
chet walker,,34588.4
chick halbert,,509.3
chick reiser,,184.1
chico vaughn,,14393.7
chima moneke,,10.0
chimezie metu,,4742.8
chinanu onuaku,,79.9
chink crossin,,150.8
chips sobek,,63.1
chris andersen,5037592.0,13447.3
chris anstey,,2314.3
chris babb,,145.9
chris bosh,,32966.3
chris boucher,,7757.7
chris carr,,6510.900000000001
chris childs,,16121.7
chris chiozza,,1559.2
chris clemons,,324.5
chris copeland,411042.0,2285.0
chris corchiani,,1542.1
chris crawford,,4242.6
chris douglas-roberts,,4608.200000000001
chris duarte,,3409.1
chris dudley,,18648.1
chris duhon,,16160.1
chris engler,,1917.9
chris ford,,25706.7
chris garner,,486.4
chris gatling,202038.0,20056.4
chris harris,,920.4
chris herren,1742522.0,1074.9
chris hunter,6695.0,843.9
chris jefferies,,1147.5
chris jent,,94.2
chris johnson,,4004.3
chris kaman,,20402.1
chris king,,2161.6
chris livingston,,258.1
chris mañon,,55.1
chris mccray,,16.8
chris mccullough,,687.7
chris mcnealy,,1974.6
chris mihm,,10611.6
chris mills,,17894.5
chris morris,,19545.8
