season,league,round,winner,winner_wins,loser,loser_wins,Favorite,Underdog
2018,NBA,Western Conf Finals,Golden State Warriors (2),4,Houston Rockets (1),3,GSW (-200),HOU (+170)
2018,NBA,Finals,Golden State Warriors (2),4,Cleveland Cavaliers (4),0,GSW (-1075),CLE (+688)
2017,NBA,Eastern Conf First Round,Boston Celtics (1),4,Chicago Bulls (8),2,BOS (-470),CHI (+375)
2017,NBA,Eastern Conf First Round,Cleveland Cavaliers (2),4,Indiana Pacers (7),0,CLE (-1100),IND (+700)
2017,NBA,Eastern Conf First Round,Toronto Raptors (3),4,Milwaukee Bucks (6),2,TOR (-440),MIL (+350)
2017,NBA,Eastern Conf First Round,Washington Wizards (4),4,Atlanta Hawks (5),2,WAS (-220),ATL (+180)
2017,NBA,Western Conf First Round,Golden State Warriors (1),4,Portland Trail Blazers (8),0,GSW (-7000),POR (+3000)
2017,NBA,Western Conf First Round,San Antonio Spurs (2),4,Memphis Grizzlies (7),2,SAS (-1070),MEM (+685)
2017,NBA,Western Conf First Round,Houston Rockets (3),4,Oklahoma City Thunder (6),1,HOU (-390),OKC (+320)
2017,NBA,Western Conf First Round,Utah Jazz (5),4,Los Angeles Clippers (4),3,LAC (-245),UTA (+205)
2017,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,Toronto Raptors (3),0,CLE (-475),TOR (+380)
2017,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Washington Wizards (4),3,BOS (-185),WAS (+160)
2017,NBA,Western Conf Semifinals,Golden State Warriors (1),4,Utah Jazz (5),0,GSW (-3200),UTA (+1600)
2017,NBA,Western Conf Semifinals,San Antonio Spurs (2),4,Houston Rockets (3),2,SAS (-300),HOU (+250)
2017,NBA,Western Conf Finals,Golden State Warriors (1),4,San Antonio Spurs (2),0,GSW (-1050),SAS (+675)
2017,NBA,Eastern Conf Finals,Cleveland Cavaliers (2),4,Boston Celtics (1),1,CLE (-700),BOS (+500)
2017,NBA,Finals,Golden State Warriors (1),4,Cleveland Cavaliers (2),1,GSW (-300),CLE (+250)
2016,NBA,Eastern Conf First Round,Cleveland Cavaliers (1),4,Detroit Pistons (8),0,CLE (-1700),DET (+1100)
2016,NBA,Eastern Conf First Round,Toronto Raptors (2),4,Indiana Pacers (7),3,TOR (-400),IND (+325)
2016,NBA,Eastern Conf First Round,Miami Heat (3),4,Charlotte Hornets (6),3,MIA (-170),CHO (+150)
2016,NBA,Eastern Conf First Round,Atlanta Hawks (4),4,Boston Celtics (5),2,ATL (-165),BOS (+145)
2016,NBA,Western Conf First Round,Golden State Warriors (1),4,Houston Rockets (8),1,GSW (-10000),HOU (+4000)
2016,NBA,Western Conf First Round,San Antonio Spurs (2),4,Memphis Grizzlies (7),0,SAS (-17000),MEM (+6625)
2016,NBA,Western Conf First Round,Oklahoma City Thunder (3),4,Dallas Mavericks (6),1,OKC (-3500),DAL (+1750)
2016,NBA,Western Conf First Round,Portland Trail Blazers (5),4,Los Angeles Clippers (4),2,LAC (-525),POR (+415)
2016,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (1),4,Atlanta Hawks (4),0,CLE (-500),ATL (+400)
2016,NBA,Eastern Conf Semifinals,Toronto Raptors (2),4,Miami Heat (3),3,TOR (-145),MIA (+125)
2016,NBA,Western Conf Semifinals,Golden State Warriors (1),4,Portland Trail Blazers (5),1,GSW (-1600),POR (+1050)
2016,NBA,Western Conf Semifinals,Oklahoma City Thunder (3),4,San Antonio Spurs (2),2,SAS (-270),OKC (+230)
2016,NBA,Eastern Conf Finals,Cleveland Cavaliers (1),4,Toronto Raptors (2),2,CLE (-1350),TOR (+885)
2016,NBA,Western Conf Finals,Golden State Warriors (1),4,Oklahoma City Thunder (3),3,GSW (-430),OKC (+345)
2016,NBA,Finals,Cleveland Cavaliers (1),4,Golden State Warriors (1),3,GSW (-220),CLE (+180)
2015,NBA,Eastern Conf First Round,Atlanta Hawks (1),4,Brooklyn Nets (8),2,ATL (-1350),BRK (+900)
2015,NBA,Eastern Conf First Round,Cleveland Cavaliers (2),4,Boston Celtics (7),0,CLE (-5000),BOS (+2100)
2015,NBA,Eastern Conf First Round,Chicago Bulls (3),4,Milwaukee Bucks (6),2,CHI (-950),MIL (+700)
2015,NBA,Eastern Conf First Round,Washington Wizards (5),4,Toronto Raptors (4),0,TOR (-175),WAS (+155)
2015,NBA,Western Conf First Round,Golden State Warriors (1),4,New Orleans Pelicans (8),0,GSW (-3000),NOP (+1500)
2015,NBA,Western Conf First Round,Houston Rockets (2),4,Dallas Mavericks (7),1,HOU (-260),DAL (+220)
2015,NBA,Western Conf First Round,Los Angeles Clippers (3),4,San Antonio Spurs (6),3,SAS (-180),LAC (+160)
2015,NBA,Western Conf First Round,Memphis Grizzlies (5),4,Portland Trail Blazers (4),1,MEM (-225),POR (+195)
2015,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,Chicago Bulls (3),2,CLE (-240),CHI (+200)
2015,NBA,Eastern Conf Semifinals,Atlanta Hawks (1),4,Washington Wizards (5),2,ATL (-245),WAS (+205)
2015,NBA,Western Conf Semifinals,Houston Rockets (2),4,Los Angeles Clippers (3),3,HOU (-150),LAC (+130)
2015,NBA,Western Conf Semifinals,Golden State Warriors (1),4,Memphis Grizzlies (5),2,GSW (-1000),MEM (+725)
2015,NBA,Eastern Conf Finals,Cleveland Cavaliers (2),4,Atlanta Hawks (1),0,CLE (-190),ATL (+165)
2015,NBA,Western Conf Finals,Golden State Warriors (1),4,Houston Rockets (2),1,GSW (-880),HOU (+665)
2015,NBA,Finals,Golden State Warriors (1),4,Cleveland Cavaliers (2),2,GSW (-220),CLE (+190)
2014,NBA,Eastern Conf First Round,Indiana Pacers (1),4,Atlanta Hawks (8),3,IND (-600),ATL (+440)
2014,NBA,Eastern Conf First Round,Miami Heat (2),4,Charlotte Bobcats (7),0,MIA (-2500),CHA (+1000)
2014,NBA,Eastern Conf First Round,Brooklyn Nets (6),4,Toronto Raptors (3),3,BRK (-130),TOR (+110)
2014,NBA,Eastern Conf First Round,Washington Wizards (5),4,Chicago Bulls (4),1,CHI (-180),WAS (+160)
2014,NBA,Western Conf First Round,San Antonio Spurs (1),4,Dallas Mavericks (8),3,SAS (-875),DAL (+585)
2014,NBA,Western Conf First Round,Oklahoma City Thunder (2),4,Memphis Grizzlies (7),3,OKC (-500),MEM (+375)
2014,NBA,Western Conf First Round,Los Angeles Clippers (3),4,Golden State Warriors (6),3,LAC (-400),GSW (+285)
2014,NBA,Western Conf First Round,Portland Trail Blazers (5),4,Houston Rockets (4),2,HOU (-200),POR (+170)
2014,NBA,Eastern Conf Semifinals,Indiana Pacers (1),4,Washington Wizards (5),2,IND (-165),WAS (+145)
2014,NBA,Eastern Conf Semifinals,Miami Heat (2),4,Brooklyn Nets (6),1,MIA (-620),BRK (+450)
2014,NBA,Western Conf Semifinals,San Antonio Spurs (1),4,Portland Trail Blazers (5),1,SAS (-410),POR (+320)
2014,NBA,Western Conf Semifinals,Oklahoma City Thunder (2),4,Los Angeles Clippers (3),2,OKC (-205),LAC (+175)
2014,NBA,Eastern Conf Finals,Miami Heat (2),4,Indiana Pacers (1),2,MIA (-380),IND (+300)
2014,NBA,Western Conf Finals,San Antonio Spurs (1),4,Oklahoma City Thunder (2),2,SAS (-245),OKC (+205)
2014,NBA,Finals,San Antonio Spurs (1),4,Miami Heat (2),1,SAS (-155),MIA (+135)
2013,NBA,Eastern Conf First Round,Miami Heat (1),4,Milwaukee Bucks (8),0,MIA (-20000),MIL (+7500)
2013,NBA,Eastern Conf First Round,New York Knicks (2),4,Boston Celtics (7),2,NYK (-410),BOS (+320)
2013,NBA,Eastern Conf First Round,Indiana Pacers (3),4,Atlanta Hawks (6),2,IND (-380),ATL (+300)
2013,NBA,Eastern Conf First Round,Chicago Bulls (5),4,Brooklyn Nets (4),3,BRK (-145),CHI (+125)
2013,NBA,Western Conf First Round,Oklahoma City Thunder (1),4,Houston Rockets (8),2,OKC (-1900),HOU (+875)
2013,NBA,Western Conf First Round,San Antonio Spurs (2),4,Los Angeles Lakers (7),0,SAS (-1000),LAL (+650)
2013,NBA,Western Conf First Round,Golden State Warriors (6),4,Denver Nuggets (3),2,DEN (-460),GSW (+355)
2013,NBA,Western Conf First Round,Memphis Grizzlies (5),4,Los Angeles Clippers (4),2,LAC (-180),MEM (+160)
2013,NBA,Eastern Conf Semifinals,Miami Heat (1),4,Chicago Bulls (5),1,MIA (-3000),CHI (+1100)
2013,NBA,Eastern Conf Semifinals,Indiana Pacers (3),4,New York Knicks (2),2,NYK (-190),IND (+165)
2013,NBA,Western Conf Semifinals,Memphis Grizzlies (5),4,Oklahoma City Thunder (1),1,MEM (-127),OKC (+107)
2013,NBA,Western Conf Semifinals,San Antonio Spurs (2),4,Golden State Warriors (6),2,SAS (-950),GSW (+625)
2013,NBA,Eastern Conf Finals,Miami Heat (1),4,Indiana Pacers (3),3,MIA (-850),IND (+575)
2013,NBA,Western Conf Finals,San Antonio Spurs (2),4,Memphis Grizzlies (5),0,SAS (-145),MEM (+125)
2013,NBA,Finals,Miami Heat (1),4,San Antonio Spurs (2),3,MIA (-220),SAS (+180)
2012,NBA,Eastern Conf First Round,Philadelphia 76ers (8),4,Chicago Bulls (1),2,CHI (-1400),PHI (+900)
2012,NBA,Eastern Conf First Round,Miami Heat (2),4,New York Knicks (7),1,MIA (-900),NYK (+650)
2012,NBA,Eastern Conf First Round,Indiana Pacers (3),4,Orlando Magic (6),1,IND (-800),ORL (+600)
2012,NBA,Eastern Conf First Round,Boston Celtics (4),4,Atlanta Hawks (5),2,BOS (-190),ATL (+160)
2012,NBA,Western Conf First Round,San Antonio Spurs (1),4,Utah Jazz (8),0,SAS (-2500),UTA (+1450)
2012,NBA,Western Conf First Round,Oklahoma City Thunder (2),4,Dallas Mavericks (7),0,OKC (-500),DAL (+400)
2012,NBA,Western Conf First Round,Los Angeles Lakers (3),4,Denver Nuggets (6),3,LAL (-240),DEN (+195)
2012,NBA,Western Conf First Round,Los Angeles Clippers (5),4,Memphis Grizzlies (4),3,MEM (-200),LAC (+170)
2012,NBA,Eastern Conf Semifinals,Miami Heat (2),4,Indiana Pacers (3),2,MIA (-950),IND (+625)
2012,NBA,Eastern Conf Semifinals,Boston Celtics (4),4,Philadelphia 76ers (8),3,BOS (-205),PHI (+175)
2012,NBA,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Clippers (5),0,SAS (-2500),LAC (+1000)
2012,NBA,Western Conf Semifinals,Oklahoma City Thunder (2),4,Los Angeles Lakers (3),1,OKC (-450),LAL (+350)
2012,NBA,Western Conf Finals,Oklahoma City Thunder (2),4,San Antonio Spurs (1),2,SAS (-205),OKC (+175)
2012,NBA,Eastern Conf Finals,Miami Heat (2),4,Boston Celtics (4),3,MIA (-530),BOS (+400)
2012,NBA,Finals,Miami Heat (2),4,Oklahoma City Thunder (2),1,OKC (-175),MIA (+155)
2011,NBA,Eastern Conf First Round,Chicago Bulls (1),4,Indiana Pacers (8),1,CHI (-4000),IND (+1200)
2011,NBA,Eastern Conf First Round,Miami Heat (2),4,Philadelphia 76ers (7),1,MIA (-2500),PHI (+1000)
2011,NBA,Eastern Conf First Round,Boston Celtics (3),4,New York Knicks (6),0,BOS (-350),NYK (+250)
2011,NBA,Eastern Conf First Round,Atlanta Hawks (5),4,Orlando Magic (4),2,ORL (-650),ATL (+425)
2011,NBA,Western Conf First Round,Memphis Grizzlies (8),4,San Antonio Spurs (1),2,SAS (-390),MEM (+280)
2011,NBA,Western Conf First Round,Los Angeles Lakers (2),4,New Orleans Hornets (7),2,LAL (-2500),NOH (+1000)
2011,NBA,Western Conf First Round,Dallas Mavericks (3),4,Portland Trail Blazers (6),2,DAL (-200),POR (+160)
